ingredient_name,ingredient_subtitle,category,subcategory,storage_condition,shelf_life_min_days,shelf_life_max_days,shelf_life_days,recommended_temp_c,data_source,confidence,notes
"Hard cheese (cheddar, Swiss, Gouda etc.)",,Common Foods,,Refrigerated,180.0,365.0,272.5,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU, unopened large piece: 6-12 months."
"Hard cheese (cheddar, Swiss, Gouda etc.)",,Common Foods,,Refrigerated,21.0,28.0,24.5,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,"NDSU, opened: 3-4 weeks. (Second row = opened state; same ingredient, different condition — see notes.)"
Margarine,,Common Foods,,Refrigerated,180.0,180.0,180.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Margarine,,Common Foods,,Frozen,180.0,270.0,225.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Sour cream,,Common Foods,,Refrigerated,14.0,14.0,14.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU. Note: not recommended for freezing.
Cream cheese,,Common Foods,,Refrigerated,14.0,14.0,14.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Buttermilk,,Common Foods,,Refrigerated,7.0,14.0,10.5,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Buttermilk,,Common Foods,,Frozen,90.0,90.0,90.0,-18 (0F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Cottage/ricotta cheese,,Common Foods,,Refrigerated,7.0,7.0,7.0,4 (40F) or below,NDSU Extension FN579 Food Storage Guide (USDA-based),sourced,NDSU.
Honey,,Common Foods,,Pantry,730.0,730.0,730.0,ambient,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,NDSU Extension FN579: 2 years. Note: honey is safe indefinitely if it crystallizes — just warm gently to re-liquefy.
Baking powder,,Common Foods,,Pantry,180.0,540.0,360.0,ambient,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,NDSU: unopened 6-18 months; opened 3-6 months. Using opened figure (the realistic kitchen case).
Baking soda,,Common Foods,,Pantry,90.0,180.0,135.0,ambient,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,NDSU: unopened 2-3 years; opened 3-6 months. Using opened figure — baking soda absorbs odors/moisture once opened.
Oranges,,Common Foods,,Refrigerated,56.0,84.0,70.0,4 (40F) or below,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,"FAO Table 5 ""Orange"": 0-9C, 56-84 days."
Lemons,,Common Foods,,Refrigerated,30.0,180.0,105.0,4 (40F) or below,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,"FAO Table 5 ""Lemon"": 10-13C, 30-180 days."
Grapefruit,,Common Foods,,Refrigerated,42.0,56.0,49.0,4 (40F) or below,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,"FAO Table 5 ""Grapefruit"": 10-15C, 42-56 days."
Mandarin/Tangerine,,Common Foods,,Refrigerated,14.0,28.0,21.0,4 (40F) or below,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,"FAO Table 5 ""Mandarin"": 4-7C, 14-28 days."
Kale,,Common Foods,,Refrigerated,10.0,14.0,12.0,4 (40F) or below,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,"FAO Table 5 direct match: 0C, 10-14 days."
Red bell pepper,,Common Foods,,Refrigerated,14.0,21.0,17.5,4 (40F) or below,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,"FAO Table 5 ""Pepper (bell)"": 7-13C, 14-21 days. Same crop as the existing green bell pepper entry, ripened stage."
Yellow bell pepper,,Common Foods,,Refrigerated,14.0,21.0,17.5,4 (40F) or below,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,"FAO Table 5 ""Pepper (bell)"": 7-13C, 14-21 days."
Bay leaves,,Common Foods,,Pantry,730.0,1460.0,1095.0,ambient,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,"NDSU ""spices and herbs - whole"": 3-4 years. Dried bay leaves behave like a whole dried herb/spice."
Coconut water,,Common Foods,,Refrigerated,3.0,7.0,5.0,4 (40F) or below,FAO Bulletin 151 Table 5 / NDSU Extension FN579,estimate_needs_local_sourcing,"No FAO/NDSU chart entry — perishable fresh juice. Analogy to NDSU ""juices, pre-mixed full-strength fruit juice, opened/refrigerated"" (~8 days) adjusted down: fresh (non-pasteurized) coconut water ferments faster than bottled juice. Flagged as an estimate."
Vanilla beans,,Common Foods,,Pantry,730.0,730.0,730.0,ambient,FAO Bulletin 151 Table 5 / NDSU Extension FN579,estimate_needs_local_sourcing,"Analogy to NDSU ""vanilla, unopened extract"": 2 years — whole pods stored airtight are comparably stable to the extract."
Almonds,,Common Foods,,Pantry,120.0,120.0,120.0,ambient,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,"NDSU ""nuts, in shell, unopened"": 4 months (shelled/vacuum-packed nuts run longer at 12 months unopened — this is the more conservative in-shell/loose figure)."
Cashews,,Common Foods,,Pantry,120.0,120.0,120.0,ambient,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,"NDSU ""nuts, in shell, unopened"": 4 months."
Walnuts,,Common Foods,,Pantry,120.0,120.0,120.0,ambient,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,"NDSU ""nuts, in shell, unopened"": 4 months."
Peanuts,,Common Foods,,Pantry,120.0,120.0,120.0,ambient,FAO Bulletin 151 Table 5 / NDSU Extension FN579,sourced,"NDSU ""nuts, in shell, unopened"": 4 months."
Gotu kola (pennywort / Centella asiatica),ready-to-serve (RTS) herbal drink,Beverages,Fruit/Herbal Drinks,Refrigerated,30.0,30.0,30.0,,"Ranasinghe et al., Development of ready-to-serve drink from gotukola (Centella asiatica), DOA Sri Lanka",sourced,Physicochemical/microbial shelf-life trial confirmed 1-month refrigerated shelf life for the RTS drink
Papaya,"Red Lady/Rathna cultivar, alum + basil oil dip, styrofoam-sleeved",Produce,Fresh Fruits,Refrigerated,14.0,14.0,14.0,13.0,"Disease control strategies for extending storage life of papaya, cultivars Red Lady and Rathna",sourced,"Alum-washed, basil-oil-sprayed papaya at 25% maturity stored at 12-14C for 14 days with zero disease severity"
Okra,"fresh, untreated (control)",Produce,Fresh Vegetables,Pantry,7.0,7.0,7.0,28.0,Effect of 1-MCP on postharvest quality and shelf life of okra,sourced,"Untreated control reached 50% marketability threshold (end of shelf life) at day 7, ambient 28+-2C"
Okra,"1-MCP fumigated, 1 microL/L",Produce,Fresh Vegetables,Pantry,11.0,11.0,11.0,28.0,Effect of 1-MCP on postharvest quality and shelf life of okra,sourced,"1-MCP fumigation at 1 microL/L extended shelf life to 11 days at 50% marketability, ambient 28+-2C"
Ela Batu (Solanum surattense / turkey berry),"minimally processed, cut, 2% calcium chloride treated",Produce,Fresh Vegetables,Refrigerated,7.0,7.0,7.0,8.0,Effect of pre-treatments on extending the shelf-life of minimally processed Ela Batu,sourced,"Cut fruit treated with 2% CaCl2, packed in LDPE pouches, stored at 8C; best treatment kept product acceptable for 7 days"
Carrots,"minimally processed, sliced, 1% citric acid treated",Produce,Fresh Vegetables,Refrigerated,7.0,7.0,7.0,7.0,Effect of pre-treatment and packing film for minimally processed carrots stored at low temperature,estimate_needs_local_sourcing,1% citric acid pre-treatment kept coliform counts lowest through 7 days at 7+-2C in LDPE bags; trial only ran to 7 days so true endpoint may be longer
Bananas,modified atmosphere packaging (MAP),Produce,Fresh Fruits,Pantry,30.0,30.0,30.0,,Inhibition of ethylene biosynthesis in modified atmosphere stored bananas,sourced,"Fruit held under modified atmosphere remained green and firm at ambient temperature after 30 days, vs ~20 days for controls"
Bananas,"ambient storage, no treatment (control)",Produce,Fresh Fruits,Pantry,20.0,20.0,20.0,,Inhibition of ethylene biosynthesis in modified atmosphere stored bananas,sourced,Control fruit (no MA packaging) ripened by day 20 at ambient temperature
Cauliflower,"whole curd, ambient storage, no treatment (control)",Produce,Fresh Vegetables,Pantry,6.0,6.0,6.0,28.0,"Site specific nutrient application on yield, quality and post harvest life of cauliflower",sourced,Curds stored at ambient 28+-2C in open conditions began decaying after day 6 (control treatment)
Cassava (manioc/tapioca root),"fresh, raw, unprocessed tuber",Produce,Fresh Vegetables,Pantry,1.0,2.0,1.5,,Influence of processing method and variety on fried sticks and frozen fries of cassava,sourced,Raw tubers have a high physiological deterioration rate; shelf life of only 24-48 hours after harvest unless processed
Cassava (manioc/tapioca root),blanched and frozen,Food Purchased Frozen,Vegetables,Frozen,90.0,90.0,90.0,,Utilization of cassava through freezing,sourced,Blanched cassava pieces held quality for up to 3 months in frozen storage
"Mushrooms (oyster, button, or cremini)",P. ostreatus mushroom sausage (processed product),Deli & Prepared Foods,Prepared/Processed Foods,Refrigerated,120.0,120.0,120.0,,"Status of edible and medicinal mushroom research in Sri Lanka (review, citing Rajanayaka et al.)",estimate_needs_local_sourcing,"Review reports a P. ostreatus mushroom sausage with shelf life of more than 4 months; exact storage condition not specified in source, refrigerated assumed for a meat-analogue product"
